typeID,solarSystemID,radius,itemName
11,30000001,5060000,Tanoo I
11,30000001,6060000,Tanoo II
2016,30000001,3490000,Tanoo III
2014,30000001,5540000,Tanoo IV
13,30000001,16140000,Tanoo V
2014,30000001,4070000,Tanoo VI
2016,30000002,2430000,Lashesih I
2016,30000002,3190000,Lashesih II
2015,30000002,4600000,Lashesih III
11,30000002,5480000,Lashesih IV
11,30000002,9290000,Lashesih V
11,30000002,9040000,Lashesih VI
11,30000002,9520000,Lashesih VII
2016,30000003,5130000,Akpivem I
2014,30000003,6760000,Akpivem II
13,30000003,24450000,Akpivem III
13,30000003,26450000,Akpivem IV
13,30000003,24680000,Akpivem V
13,30000003,32050000,Akpivem VI
12,30000003,14090000,Akpivem VII
2017,30000004,4330000,Jark I
11,30000004,6630000,Jark II
2017,30000004,6640000,Jark III
11,30000004,6100000,Jark IV
13,30000004,23970000,Jark V
13,30000004,91750000,Jark VI
13,30000004,13840000,Jark VII
2016,30000005,6120000,Sasta I
2015,30000005,2350000,Sasta II
13,30000005,13000000,Sasta III
13,30000005,14940000,Sasta IV
13,30000005,21560000,Sasta V
13,30000005,24250000,Sasta VI
13,30000005,87860000,Sasta VII
13,30000005,41550000,Sasta VIII
12,30000005,16330000,Sasta IX
2015,30000006,2940000,Zaid I
2016,30000006,3190000,Zaid II
2016,30000006,6620000,Zaid III
2016,30000006,2120000,Zaid IV
2017,30000006,7970000,Zaid V
2014,30000006,5370000,Zaid VI
13,30000006,26860000,Zaid VII
2016,30000006,9430000,Zaid VIII
13,30000006,13740000,Zaid IX
2016,30000007,3480000,Yuzier I
11,30000007,4320000,Yuzier II
11,30000007,6080000,Yuzier III
2015,30000007,5520000,Yuzier IV
13,30000007,18120000,Yuzier V
2017,30000007,12040000,Yuzier VI
2016,30000007,9580000,Yuzier VII
13,30000007,36740000,Yuzier VIII
2016,30000008,2830000,Nirbhi I
2016,30000008,3370000,Nirbhi II
11,30000008,6360000,Nirbhi III
11,30000008,5170000,Nirbhi IV
13,30000008,19580000,Nirbhi V
13,30000008,101500000,Nirbhi VI
13,30000008,32850000,Nirbhi VII
13,30000008,29970000,Nirbhi VIII
12,30000008,12990000,Nirbhi IX
12,30000008,7120000,Nirbhi X
2016,30000009,2030000,Sooma I
2016,30000009,2990000,Sooma II
11,30000009,5060000,Sooma III
11,30000009,9270000,Sooma IV
11,30000009,9770000,Sooma V
2016,30000009,6670000,Sooma VI
13,30000009,29660000,Sooma VII
13,30000009,19270000,Sooma VIII
13,30000009,17230000,Sooma IX
12,30000009,14160000,Sooma X
2016,30000010,2600000,Chidah I
2016,30000010,2100000,Chidah II
2016,30000010,4870000,Chidah III
2016,30000010,4520000,Chidah IV
13,30000010,22030000,Chidah V
2016,30000010,6220000,Chidah VI
13,30000010,21280000,Chidah VII
13,30000010,37770000,Chidah VIII
2015,30000010,3660000,Chidah IX
2016,30000010,4590000,Chidah X
2016,30000011,2720000,Shenela I
2016,30000011,2050000,Shenela II
2016,30000011,4300000,Shenela III
13,30000011,35120000,Shenela IV
11,30000011,5320000,Shenela V
13,30000011,36770000,Shenela VI
2016,30000012,3090000,Asabona I
2015,30000012,6200000,Asabona II
11,30000012,7380000,Asabona III
11,30000012,7780000,Asabona IV
13,30000012,18410000,Asabona V
13,30000012,16630000,Asabona VI
2017,30000012,7190000,Asabona VII
13,30000012,33210000,Asabona VIII
13,30000012,26790000,Asabona IX
13,30000012,34260000,Asabona X
2016,30000012,2380000,Asabona XI
2063,30000013,4520000,Onsooh I
2015,30000013,5020000,Onsooh II
2016,30000013,3350000,Onsooh III
11,30000013,8570000,Onsooh IV
11,30000013,5360000,Onsooh V
11,30000013,6340000,Onsooh VI
13,30000013,70770000,Onsooh VII
13,30000013,95980000,Onsooh VIII
12,30000013,25560000,Onsooh IX
2016,30000013,11800000,Onsooh X
2016,30000014,2370000,Shamahi I
2015,30000014,5830000,Shamahi II
2015,30000014,2130000,Shamahi III
2016,30000014,6920000,Shamahi IV
2015,30000014,2100000,Shamahi V
13,30000014,41730000,Shamahi VI
13,30000014,30550000,Shamahi VII
2017,30000014,15940000,Shamahi VIII
12,30000014,40160000,Shamahi IX
2016,30000014,2720000,Shamahi X
2015,30000015,2970000,Sendaya I
2016,30000015,2170000,Sendaya II
2016,30000015,5090000,Sendaya III
2017,30000015,5780000,Sendaya IV
11,30000015,4550000,Sendaya V
13,30000015,20940000,Sendaya VI
13,30000015,55960000,Sendaya VII
2016,30000015,10650000,Sendaya VIII
2016,30000015,11320000,Sendaya IX
2016,30000016,3090000,Nazhgete I
2016,30000016,3600000,Nazhgete II
11,30000016,6070000,Nazhgete III
2017,30000016,4440000,Nazhgete IV
13,30000016,13220000,Nazhgete V
11,30000016,5350000,Nazhgete VI
13,30000016,25090000,Nazhgete VII
13,30000016,36000000,Nazhgete VIII
13,30000016,21540000,Nazhgete IX
12,30000016,18020000,Nazhgete X
2016,30000017,2420000,Futzchag I
2016,30000017,3780000,Futzchag II
2017,30000017,5160000,Futzchag III
2015,30000017,6660000,Futzchag IV
13,30000017,28000000,Futzchag V
2015,30000017,6880000,Futzchag VI
11,30000017,6100000,Futzchag VII
13,30000017,37060000,Futzchag VIII
13,30000017,42330000,Futzchag IX
13,30000017,13240000,Futzchag X
2017,30000017,4400000,Futzchag XI
2017,30000018,3940000,Kazna I
2015,30000018,4590000,Kazna II
13,30000018,27640000,Kazna III
2014,30000018,4660000,Kazna IV
13,30000018,65110000,Kazna V
